label;nz;tf;TF;entropy
battery;30;47;47;4.559463321184722
batting;15;21;21;3.649001209710341
battle;149;708;708;4.8650329797063865
battlefield;11;23;23;2.9078550230687457
battleground;4;5;5;1.9219280948873623
battler;8;12;12;2.617492461184755
bay;28;66;66;3.840483332897833
beach;34;66;66;4.575671438001676
beachfronts;5;5;5;2.3219280948873626
bead;12;13;13;3.5465935642949384
beads;42;58;58;5.009372702905614
beam;29;44;44;4.3325268703310735
bean;13;16;16;3.625
bear;15;16;16;3.875
beard;7;7;7;2.807354922057604
bearing;11;11;11;3.459431618637298
beast;13;16;16;3.5
beat;10;15;15;2.8729055953200557
beating;6;6;6;2.584962500721156
beauty;42;63;63;5.0310951540644115
bed;22;23;23;4.436605434317882
bedroom;6;6;6;2.584962500721156
bee;14;15;15;3.7735572622751845
beef;4;6;6;1.792481250360578
beekeeper;5;7;7;2.2359263506290326
beer;6;6;6;2.584962500721156
beet;6;7;7;2.521640636343318
beetle;7;7;7;2.807354922057604
beggar;5;5;5;2.3219280948873626
beginning;64;267;267;4.115271124503668
behalf;11;35;35;2.3676513958267362
behavior;86;138;138;5.921361480338126
behaviour;36;41;41;5.113649565593692
behest;4;5;5;1.9219280948873625
beings;29;31;31;4.825164052322361
belief;188;432;432;6.4528901067101
believer;17;24;24;3.90726822961739
bell;131;169;169;6.769371848897166
belonging;7;10;10;2.5219280948873624
beloved;4;4;4;2.0
belt;41;84;84;4.581397184065388
bench;7;9;9;2.725480556997868
benchmark;6;6;6;2.584962500721156
bend;13;17;17;3.5724694587701364
benedict;8;14;14;2.8962915290459277
benediction;2;4;4;0.8112781244591328
benefactor;6;7;7;2.521640636343318
beneficiary;10;12;12;3.2516291673878226
benefit;46;80;80;4.916626511795674
benzene;8;9;9;2.9477027792200903
bequest;8;8;8;3.0
ber;3;3;3;1.584962500721156
best;11;19;19;3.0031125421592058
bestseller;7;8;8;2.75
betrayal;9;11;11;3.0957952550009344
betrothal;8;8;8;3.0
betrothed;4;6;6;1.9182958340544896
better;4;5;5;1.9219280948873623
beverage;17;21;21;3.916126946588284
bevy;4;4;4;2.0
beyliks;6;7;7;2.5216406363433186
bias;12;13;13;3.546593564294939
bibliography;8;9;9;2.9477027792200903
bicycle;6;6;6;2.584962500721156
bid;27;29;29;4.720049960644813
bidos;4;4;4;2.0
biennial;3;3;3;1.584962500721156
bill;57;81;81;5.444426237292265
