label;nz;tf;TF;entropy
N:amount-value:N:thirteen;2;2;2;1.0
N:amount-value:N:thirty;2;5;5;0.7219280948873623
N:amount-value:N:three;11;79;79;2.7547385238833897
N:amount-value:N:twelve;5;9;9;1.8799649487271113
N:amount-value:N:twentieth;1;4;4;0.0
N:amount-value:N:twenty;5;16;16;1.4966407621868583
N:amount-value:N:two;11;66;66;2.367063257292447
N:appo-R:N:AD;4;4;4;2.0
N:appo-R:N:Achill;1;1;1;0.0
N:appo-R:N:Adelaide;2;2;2;1.0
N:appo-R:N:Agassi;3;3;3;1.584962500721156
N:appo-R:N:Agni;2;2;2;1.0
N:appo-R:N:Ajax;2;2;2;1.0
N:appo-R:N:Alberta;2;2;2;1.0
N:appo-R:N:Alfred;3;3;3;1.584962500721156
N:appo-R:N:Allah;2;3;3;0.9182958340544896
N:appo-R:N:America;3;3;3;1.584962500721156
N:appo-R:N:Andronikos;4;4;4;2.0
N:appo-R:N:Angola;4;4;4;2.0
N:appo-R:N:Antony;1;1;1;0.0
N:appo-R:N:Apollo;2;2;2;1.0
N:appo-R:N:Arabic;2;2;2;1.0
N:appo-R:N:Ashoka;2;2;2;1.0
N:appo-R:N:Astraea;1;2;2;0.0
N:appo-R:N:Athens;3;3;3;1.584962500721156
N:appo-R:N:Australia;2;2;2;1.0
N:appo-R:N:BC;8;8;8;3.0
N:appo-R:N:Baku;2;2;2;1.0
N:appo-R:N:Constantinople;2;2;2;1.0
N:appo-R:N:Creation;2;2;2;1.0
N:appo-R:N:Crowley;1;1;1;0.0
N:appo-R:N:Cyprus;2;3;3;0.9182958340544896
N:appo-R:N:Danube;2;2;2;1.0
N:appo-R:N:Death;10;10;10;3.321928094887362
N:appo-R:N:Ealhswith;1;2;2;0.0
N:appo-R:N:Edmonton;2;2;2;1.0
N:appo-R:N:Egypt;4;4;4;2.0
N:appo-R:N:Enceladus;1;2;2;0.0
N:appo-R:N:England;2;2;2;1.0
N:appo-R:N:Enlightenment;2;2;2;1.0
N:appo-R:N:Europe;2;2;2;1.0
N:appo-R:N:France;2;2;2;1.0
N:appo-R:N:Greek;2;2;2;1.0
N:appo-R:N:Helena;2;2;2;1.0
N:appo-R:N:Herodotus;1;1;1;0.0
N:appo-R:N:I;3;3;3;1.584962500721156
N:appo-R:N:Incarnation;1;1;1;0.0
N:appo-R:N:Islam;2;2;2;1.0
N:appo-R:N:Iulii;2;2;2;1.0
N:appo-R:N:Japan;2;2;2;1.0
N:appo-R:N:Joan;2;2;2;1.0
N:appo-R:N:London;2;2;2;1.0
N:appo-R:N:Marple;2;2;2;1.0
N:appo-R:N:Meccans;1;2;2;0.0
N:appo-R:N:Mexico;1;1;1;0.0
N:appo-R:N:Mulatto;2;2;2;1.0
N:appo-R:N:Nicaragua;2;2;2;1.0
N:appo-R:N:Oranjestad;2;2;2;1.0
N:appo-R:N:Persephone;2;2;2;1.0
N:appo-R:N:Persia;2;2;2;1.0
N:appo-R:N:Philip;2;2;2;1.0
N:appo-R:N:Portugal;2;2;2;1.0
N:appo-R:N:Ran;2;2;2;1.0
N:appo-R:N:Renault;2;2;2;1.0
N:appo-R:N:September;2;2;2;1.0
N:appo-R:N:Solzhenitsyn;2;2;2;1.0
N:appo-R:N:Son;10;11;11;3.2776134368191165
N:appo-R:N:Speer;2;2;2;1.0
N:appo-R:N:Thessaly;2;2;2;1.0
N:appo-R:N:Turing;2;2;2;1.0
N:appo-R:N:Writings;2;2;2;1.0
N:appo-R:N:Zeus;2;2;2;1.0
N:appo-R:N:abbot;3;3;3;1.584962500721156
N:appo-R:N:absence;2;2;2;1.0
N:appo-R:N:account;2;2;2;1.0
N:appo-R:N:achievement;2;2;2;1.0
N:appo-R:N:acid;2;2;2;1.0
N:appo-R:N:act;2;2;2;1.0
N:appo-R:N:action;2;2;2;1.0
N:appo-R:N:activity;2;2;2;1.0
N:appo-R:N:actor;2;2;2;1.0
N:appo-R:N:addition;10;11;11;3.277613436819116
N:appo-R:N:address;2;2;2;1.0
N:appo-R:N:adobe;2;2;2;1.0
N:appo-R:N:affair;3;3;3;1.584962500721156
N:appo-R:N:agate;1;5;5;0.0
N:appo-R:N:age;5;6;6;2.2516291673878226
N:appo-R:N:agnosticism;2;2;2;1.0
N:appo-R:N:agreement;2;2;2;1.0
N:appo-R:N:alchemy;2;2;2;1.0
N:appo-R:N:alcohol;4;5;5;1.9219280948873625
N:appo-R:N:algorithm;1;2;2;0.0
N:appo-R:N:all;4;4;4;2.0
N:appo-R:N:allosaurid;2;2;2;1.0
N:appo-R:N:amount;1;2;2;0.0
N:appo-R:N:anatomy;2;2;2;1.0
N:appo-R:N:anglicana;1;2;2;0.0
N:appo-R:N:animal;3;3;3;1.584962500721156
N:appo-R:N:anthropology;3;3;3;1.584962500721156
N:appo-R:N:apprehension;2;2;2;1.0
N:appo-R:N:area;4;4;4;2.0
N:appo-R:N:artist;2;2;2;1.0
N:appo-R:N:astronomy;2;2;2;1.0
N:appo-R:N:atom;3;3;3;1.584962500721156
N:appo-R:N:author;5;5;5;2.3219280948873626
N:appo-R:N:base;3;3;3;1.584962500721156
N:appo-R:N:battle;4;4;4;2.0
N:appo-R:N:birth;4;4;4;2.0
N:appo-R:N:bishop;2;2;2;1.0
N:appo-R:N:black;2;2;2;1.0
N:appo-R:N:boat;0;0;0;0.0
N:appo-R:N:body;3;3;3;1.584962500721156
N:appo-R:N:book;13;13;13;3.7004397181410926
N:appo-R:N:brewery;2;2;2;1.0
N:appo-R:N:brick;2;2;2;1.0
N:appo-R:N:brother;3;3;3;1.584962500721156
N:appo-R:N:building;6;6;6;2.584962500721156
N:appo-R:N:button;1;1;1;0.0
N:appo-R:N:byzantine;2;2;2;1.0
N:appo-R:N:car;2;2;2;1.0
N:appo-R:N:career;2;2;2;1.0
N:appo-R:N:case;6;6;6;2.584962500721156
N:appo-R:N:cause;2;3;3;0.9182958340544896
N:appo-R:N:center;2;2;2;1.0
N:appo-R:N:century;3;3;3;1.584962500721156
N:appo-R:N:character;4;4;4;2.0
N:appo-R:N:chemistry;1;1;1;0.0
N:appo-R:N:child;6;6;6;2.584962500721156
N:appo-R:N:chloride;1;1;1;0.0
N:appo-R:N:church;6;7;7;2.521640636343318
N:appo-R:N:city;9;9;9;3.169925001442312
N:appo-R:N:class;1;1;1;0.0
N:appo-R:N:climate;3;3;3;1.584962500721156
N:appo-R:N:colonel;2;2;2;1.0
N:appo-R:N:colony;2;2;2;1.0
N:appo-R:N:communion;2;2;2;1.0
N:appo-R:N:community;1;1;1;0.0
N:appo-R:N:company;2;2;2;1.0
N:appo-R:N:computer;3;3;3;1.584962500721156
N:appo-R:N:concept;4;5;5;1.9219280948873623
N:appo-R:N:conference;3;3;3;1.584962500721156
N:appo-R:N:connection;2;2;2;1.0
N:appo-R:N:conquest;3;3;3;1.584962500721156
N:appo-R:N:context;2;2;2;1.0
N:appo-R:N:contrast;2;2;2;1.0
N:appo-R:N:copper;1;1;1;0.0
N:appo-R:N:court;2;2;2;1.0
N:appo-R:N:cousin;2;2;2;1.0
N:appo-R:N:currency;3;4;4;1.5
N:appo-R:N:daughter;5;5;5;2.3219280948873626
N:appo-R:N:decade;3;3;3;1.584962500721156
N:appo-R:N:decline;2;2;2;1.0
N:appo-R:N:degree;2;2;2;1.0
N:appo-R:N:deity;1;1;1;0.0
N:appo-R:N:description;2;2;2;1.0
N:appo-R:N:design;3;3;3;1.584962500721156
N:appo-R:N:detector;2;2;2;1.0
N:appo-R:N:development;5;5;5;2.3219280948873626
N:appo-R:N:device;2;2;2;1.0
N:appo-R:N:dictionary;2;2;2;1.0
N:appo-R:N:director;4;4;4;2.0
N:appo-R:N:disapproval;2;2;2;1.0
N:appo-R:N:disease;4;4;4;2.0
N:appo-R:N:doctor;2;2;2;1.0
N:appo-R:N:doctrine;2;2;2;1.0
N:appo-R:N:door;2;2;2;1.0
N:appo-R:N:duke;2;2;2;1.0
